Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Admin Add Custom Fields,Chrome 74.0.3729.169,,2019-06-18 12:30:37,2019-06-18 12:32:22,1m - 45.291s,FAILED
,,,,,,
Test Cases/Utilities/ADMIN/Admin Login,Chrome 74.0.3729.169,,2019-06-18 12:30:37,2019-06-18 12:30:43,5.705s,FAILED
openBrowser,Chrome 74.0.3729.169,,2019-06-18 12:30:38,2019-06-18 12:30:39,0.916s,PASSED
maximizeWindow,Chrome 74.0.3729.169,,2019-06-18 12:30:39,2019-06-18 12:30:40,1.232s,FAILED
navigateToUrl,Chrome 74.0.3729.169,,2019-06-18 12:30:40,2019-06-18 12:30:40,0.571s,PASSED
"Statement - If (AdminAccountType == ""custom"")",Chrome 74.0.3729.169,,2019-06-18 12:30:40,2019-06-18 12:30:43,2.631s,PASSED
,,,,,,
Test Cases/ADMIN/Custom Fields Page/Add Custom Item Fields/Add_Checkbox NM,Chrome 74.0.3729.169,,2019-06-18 12:30:43,2019-06-18 12:30:51,7.609s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-18 12:30:43,2019-06-18 12:30:44,0.231s,PASSED
click,Chrome 74.0.3729.169,,2019-06-18 12:30:44,2019-06-18 12:30:44,0.083s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-18 12:30:44,2019-06-18 12:30:44,0.552s,PASSED
click,Chrome 74.0.3729.169,,2019-06-18 12:30:44,2019-06-18 12:30:46,1.408s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-18 12:30:46,2019-06-18 12:30:46,0.048s,PASSED
click,Chrome 74.0.3729.169,,2019-06-18 12:30:46,2019-06-18 12:30:46,0.686s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-18 12:30:46,2019-06-18 12:30:46,0.093s,PASSED
selectOptionByLabel,Chrome 74.0.3729.169,,2019-06-18 12:30:46,2019-06-18 12:30:47,0.179s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-18 12:30:47,2019-06-18 12:30:47,0.220s,PASSED
click,Chrome 74.0.3729.169,,2019-06-18 12:30:47,2019-06-18 12:30:47,0.066s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-18 12:30:47,2019-06-18 12:30:47,0.039s,PASSED
click,Chrome 74.0.3729.169,,2019-06-18 12:30:47,2019-06-18 12:30:47,0.082s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-18 12:30:47,2019-06-18 12:30:47,0.035s,PASSED
click,Chrome 74.0.3729.169,,2019-06-18 12:30:47,2019-06-18 12:30:47,0.063s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-18 12:30:47,2019-06-18 12:30:47,0.038s,PASSED
click,Chrome 74.0.3729.169,,2019-06-18 12:30:47,2019-06-18 12:30:47,0.108s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-18 12:30:47,2019-06-18 12:30:47,0.034s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-18 12:30:47,2019-06-18 12:30:47,0.157s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-18 12:30:47,2019-06-18 12:30:48,0.183s,PASSED
