Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Admin Getting Started,Chrome 75.0.3770.100,,2019-07-09 07:56:35,2019-07-09 07:58:03,1m - 27.938s,FAILED
,,,,,,
Test Cases/ADMIN/Getting Started/Getting Started Step 4,Chrome 75.0.3770.100,,2019-07-09 07:56:36,2019-07-09 07:57:17,41.332s,FAILED
callTestCase,Chrome 75.0.3770.100,,2019-07-09 07:56:36,2019-07-09 07:56:48,11.258s,PASSED
click,Chrome 75.0.3770.100,,2019-07-09 07:56:48,2019-07-09 07:56:49,1.092s,PASSED
comment,Chrome 75.0.3770.100,,2019-07-09 07:56:49,2019-07-09 07:56:49,0.007s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-09 07:56:49,2019-07-09 07:56:49,0.101s,PASSED
verifyElementText,Chrome 75.0.3770.100,,2019-07-09 07:56:49,2019-07-09 07:56:49,0.062s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-09 07:56:49,2019-07-09 07:56:49,0.067s,PASSED
click,Chrome 75.0.3770.100,,2019-07-09 07:56:49,2019-07-09 07:56:49,0.117s,PASSED
click,Chrome 75.0.3770.100,,2019-07-09 07:56:49,2019-07-09 07:56:50,0.909s,FAILED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-09 07:56:50,2019-07-09 07:57:02,11.844s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-09 07:57:02,2019-07-09 07:57:02,0.047s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-09 07:57:02,2019-07-09 07:57:02,0.042s,PASSED
comment,Chrome 75.0.3770.100,,2019-07-09 07:57:02,2019-07-09 07:57:02,0.001s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-09 07:57:02,2019-07-09 07:57:02,0.035s,PASSED
click,Chrome 75.0.3770.100,,2019-07-09 07:57:02,2019-07-09 07:57:02,0.154s,PASSED
delay,Chrome 75.0.3770.100,,2019-07-09 07:57:02,2019-07-09 07:57:03,1.010s,PASSED
switchToWindowIndex,Chrome 75.0.3770.100,,2019-07-09 07:57:03,2019-07-09 07:57:03,0.084s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-09 07:57:03,2019-07-09 07:57:11,7.717s,PASSED
closeWindowIndex,Chrome 75.0.3770.100,,2019-07-09 07:57:11,2019-07-09 07:57:11,0.154s,PASSED
delay,Chrome 75.0.3770.100,,2019-07-09 07:57:11,2019-07-09 07:57:12,1.002s,PASSED
switchToWindowIndex,Chrome 75.0.3770.100,,2019-07-09 07:57:12,2019-07-09 07:57:12,0.068s,PASSED
comment,Chrome 75.0.3770.100,,2019-07-09 07:57:12,2019-07-09 07:57:12,0.001s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-09 07:57:12,2019-07-09 07:57:12,0.226s,PASSED
click,Chrome 75.0.3770.100,,2019-07-09 07:57:12,2019-07-09 07:57:15,2.246s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-09 07:57:15,2019-07-09 07:57:15,0.540s,PASSED
verifyElementPresent,Chrome 75.0.3770.100,,2019-07-09 07:57:15,2019-07-09 07:57:15,0.142s,PASSED
click,Chrome 75.0.3770.100,,2019-07-09 07:57:15,2019-07-09 07:57:16,0.165s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-09 07:57:16,2019-07-09 07:57:16,0.084s,PASSED
setText,Chrome 75.0.3770.100,,2019-07-09 07:57:16,2019-07-09 07:57:16,0.306s,PASSED
click,Chrome 75.0.3770.100,,2019-07-09 07:57:16,2019-07-09 07:57:16,0.097s,PASSED
callTestCase,Chrome 75.0.3770.100,,2019-07-09 07:57:16,2019-07-09 07:57:17,1.065s,PASSED
,,,,,,
Test Cases/ADMIN/Getting Started/Quick Links,Chrome 75.0.3770.100,,2019-07-09 07:57:17,2019-07-09 07:58:03,46.196s,PASSED
callTestCase,Chrome 75.0.3770.100,,2019-07-09 07:57:17,2019-07-09 07:57:27,9.580s,PASSED
