Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Admin Onboarding Only(SPACETIME),Chrome 75.0.3770.100,,2019-07-09 07:49:10,2019-07-09 07:51:39,2m - 29.070s,PASSED
,,,,,,
Test Cases/ADMIN/Onboarding/Admin_Onboarding_Create_Account,Chrome 75.0.3770.100,,2019-07-09 07:49:11,2019-07-09 07:49:32,20.966s,PASSED
openBrowser,Chrome 75.0.3770.100,,2019-07-09 07:49:11,2019-07-09 07:49:13,2.178s,PASSED
navigateToUrl,Chrome 75.0.3770.100,,2019-07-09 07:49:13,2019-07-09 07:49:23,9.904s,PASSED
maximizeWindow,Chrome 75.0.3770.100,,2019-07-09 07:49:23,2019-07-09 07:49:23,0.035s,PASSED
"Statement - If (AdminAccountType == ""custom"")",Chrome 75.0.3770.100,,2019-07-09 07:49:23,2019-07-09 07:49:32,8.438s,PASSED
,,,,,,
Test Cases/ADMIN/Onboarding/Step1_Simple_Test,Chrome 75.0.3770.100,,2019-07-09 07:49:32,2019-07-09 07:49:36,4.855s,PASSED
comment,Chrome 75.0.3770.100,,2019-07-09 07:49:32,2019-07-09 07:49:32,0.018s,PASSED
selectOptionByLabel,Chrome 75.0.3770.100,,2019-07-09 07:49:32,2019-07-09 07:49:32,0.284s,PASSED
selectOptionByLabel,Chrome 75.0.3770.100,,2019-07-09 07:49:32,2019-07-09 07:49:32,0.222s,PASSED
setText,Chrome 75.0.3770.100,,2019-07-09 07:49:32,2019-07-09 07:49:33,0.464s,PASSED
selectOptionByLabel,Chrome 75.0.3770.100,,2019-07-09 07:49:33,2019-07-09 07:49:33,0.274s,PASSED
setText,Chrome 75.0.3770.100,,2019-07-09 07:49:33,2019-07-09 07:49:34,0.654s,PASSED
comment,Chrome 75.0.3770.100,,2019-07-09 07:49:34,2019-07-09 07:49:34,0.001s,PASSED
setText,Chrome 75.0.3770.100,,2019-07-09 07:49:34,2019-07-09 07:49:34,0.379s,PASSED
click,Chrome 75.0.3770.100,,2019-07-09 07:49:34,2019-07-09 07:49:36,2.278s,PASSED
verifyElementText,Chrome 75.0.3770.100,,2019-07-09 07:49:36,2019-07-09 07:49:36,0.082s,PASSED
,,,,,,
Test Cases/ADMIN/Onboarding/Step2_Simple_Test,Chrome 75.0.3770.100,,2019-07-09 07:49:36,2019-07-09 07:49:46,9.140s,PASSED
comment,Chrome 75.0.3770.100,,2019-07-09 07:49:37,2019-07-09 07:49:37,0.003s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-09 07:49:37,2019-07-09 07:49:37,0.276s,PASSED
comment,Chrome 75.0.3770.100,,2019-07-09 07:49:37,2019-07-09 07:49:37,0.001s,PASSED
click,Chrome 75.0.3770.100,,2019-07-09 07:49:37,2019-07-09 07:49:38,0.831s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-09 07:49:38,2019-07-09 07:49:38,0.361s,PASSED
click,Chrome 75.0.3770.100,,2019-07-09 07:49:38,2019-07-09 07:49:39,1.031s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-09 07:49:39,2019-07-09 07:49:40,0.316s,PASSED
comment,Chrome 75.0.3770.100,,2019-07-09 07:49:40,2019-07-09 07:49:40,0.002s,PASSED
setText,Chrome 75.0.3770.100,,2019-07-09 07:49:40,2019-07-09 07:49:40,0.312s,PASSED
