Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
welcomeMail,Chrome 75.0.3770.100,,2019-07-11 13:01:38,2019-07-11 13:02:30,51.834s,FAILED
,,,,,,
Test Cases/Utilities/ADMIN/Admin Login,Chrome 75.0.3770.100,,2019-07-11 13:01:38,2019-07-11 13:01:49,10.771s,PASSED
openBrowser,Chrome 75.0.3770.100,,2019-07-11 13:01:39,2019-07-11 13:01:42,3.200s,PASSED
maximizeWindow,Chrome 75.0.3770.100,,2019-07-11 13:01:42,2019-07-11 13:01:43,1.277s,PASSED
navigateToUrl,Chrome 75.0.3770.100,,2019-07-11 13:01:43,2019-07-11 13:01:46,2.501s,PASSED
"Statement - If (AdminAccountType == ""custom"")",Chrome 75.0.3770.100,,2019-07-11 13:01:46,2019-07-11 13:01:49,3.432s,PASSED
,,,,,,
Test Cases/ADMIN/EDM Verification/Admin/admin_WelcomeMail,Chrome 75.0.3770.100,,2019-07-11 13:01:49,2019-07-11 13:01:54,4.752s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-11 13:01:49,2019-07-11 13:01:49,0.056s,PASSED
click,Chrome 75.0.3770.100,,2019-07-11 13:01:49,2019-07-11 13:01:50,0.120s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-11 13:01:50,2019-07-11 13:01:50,0.864s,PASSED
click,Chrome 75.0.3770.100,,2019-07-11 13:01:50,2019-07-11 13:01:51,0.683s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-11 13:01:51,2019-07-11 13:01:51,0.073s,PASSED
click,Chrome 75.0.3770.100,,2019-07-11 13:01:51,2019-07-11 13:01:51,0.289s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-11 13:01:51,2019-07-11 13:01:51,0.066s,PASSED
click,Chrome 75.0.3770.100,,2019-07-11 13:01:51,2019-07-11 13:01:52,0.689s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-11 13:01:52,2019-07-11 13:01:52,0.083s,PASSED
Statement - greetings = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ADMIN/Edit Text/Spacetime/Welcome Mail/textlabel_Hi)),Chrome 75.0.3770.100,,2019-07-11 13:01:52,2019-07-11 13:01:52,0.181s,PASSED
getText,Chrome 75.0.3770.100,,2019-07-11 13:01:52,2019-07-11 13:01:53,0.077s,PASSED
Statement - welcome = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ADMIN/Edit Text/Spacetime/Welcome Mail/textlabel_Welcome to marketplace)),Chrome 75.0.3770.100,,2019-07-11 13:01:53,2019-07-11 13:01:53,0.055s,PASSED
Statement - content = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ADMIN/Edit Text/Spacetime/Welcome Mail/textlabel_We hope that you enjoy s)),Chrome 75.0.3770.100,,2019-07-11 13:01:53,2019-07-11 13:01:53,0.063s,PASSED
