Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add_Custom fields,Chrome 74.0.3729.169,,2019-05-27 12:53:22,2019-05-27 12:55:15,1m - 52.552s,FAILED
,,,,,,
Test Cases/Utilities/ADMIN/Admin Login,Chrome 74.0.3729.169,,2019-05-27 12:53:23,2019-05-27 12:53:33,10.506s,PASSED
openBrowser,Chrome 74.0.3729.169,,2019-05-27 12:53:23,2019-05-27 12:53:26,3.131s,PASSED
maximizeWindow,Chrome 74.0.3729.169,,2019-05-27 12:53:26,2019-05-27 12:53:27,1.177s,PASSED
navigateToUrl,Chrome 74.0.3729.169,,2019-05-27 12:53:27,2019-05-27 12:53:29,1.812s,PASSED
"Statement - If (AdminAccountType == ""custom"")",Chrome 74.0.3729.169,,2019-05-27 12:53:29,2019-05-27 12:53:33,4.104s,PASSED
,,,,,,
Test Cases/ADMIN/Custom Fields Page/Add Custom Item Fields/Add_Textfield,Chrome 74.0.3729.169,,2019-05-27 12:53:33,2019-05-27 12:53:41,7.894s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 12:53:33,2019-05-27 12:53:33,0.056s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 12:53:33,2019-05-27 12:53:33,0.110s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 12:53:33,2019-05-27 12:53:34,0.567s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 12:53:34,2019-05-27 12:53:35,1.134s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 12:53:35,2019-05-27 12:53:35,0.106s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 12:53:35,2019-05-27 12:53:36,0.649s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 12:53:36,2019-05-27 12:53:36,0.189s,PASSED
waitForPageLoad,Chrome 74.0.3729.169,,2019-05-27 12:53:36,2019-05-27 12:53:36,0.151s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 12:53:36,2019-05-27 12:53:36,0.111s,PASSED
delay,Chrome 74.0.3729.169,,2019-05-27 12:53:36,2019-05-27 12:53:38,2.025s,PASSED
selectOptionByLabel,Chrome 74.0.3729.169,,2019-05-27 12:53:38,2019-05-27 12:53:39,0.163s,PASSED
setText,Chrome 74.0.3729.169,,2019-05-27 12:53:39,2019-05-27 12:53:39,0.203s,PASSED
scrollToElement,Chrome 74.0.3729.169,,2019-05-27 12:53:39,2019-05-27 12:53:39,0.056s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 12:53:39,2019-05-27 12:53:39,0.095s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 12:53:39,2019-05-27 12:53:39,0.580s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 12:53:39,2019-05-27 12:53:40,0.157s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 12:53:40,2019-05-27 12:53:40,0.165s,PASSED
delay,Chrome 74.0.3729.169,,2019-05-27 12:53:40,2019-05-27 12:53:41,1.002s,PASSED
scrollToElement,Chrome 74.0.3729.169,,2019-05-27 12:53:41,2019-05-27 12:53:41,0.066s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 12:53:41,2019-05-27 12:53:41,0.086s,PASSED
,,,,,,
Test Cases/ADMIN/Custom Fields Page/Add Custom Item Fields/Add_HyperlinkURL,Chrome 74.0.3729.169,,2019-05-27 12:53:41,2019-05-27 12:53:49,8.196s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 12:53:41,2019-05-27 12:53:43,2.078s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 12:53:43,2019-05-27 12:53:44,0.562s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 12:53:44,2019-05-27 12:53:44,0.099s,PASSED
waitForPageLoad,Chrome 74.0.3729.169,,2019-05-27 12:53:44,2019-05-27 12:53:44,0.021s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 12:53:44,2019-05-27 12:53:44,0.250s,PASSED
delay,Chrome 74.0.3729.169,,2019-05-27 12:53:44,2019-05-27 12:53:46,2.002s,PASSED
selectOptionByLabel,Chrome 74.0.3729.169,,2019-05-27 12:53:46,2019-05-27 12:53:46,0.213s,PASSED
verifyOptionSelectedByLabel,Chrome 74.0.3729.169,,2019-05-27 12:53:46,2019-05-27 12:53:47,0.641s,PASSED
setText,Chrome 74.0.3729.169,,2019-05-27 12:53:47,2019-05-27 12:53:47,0.131s,PASSED
