Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Combination_DefaultUnit,Chrome 74.0.3729.169,,2019-06-10 09:28:48,2019-06-10 09:35:27,6m - 38.960s,PASSED
,,,,,,
Test Cases/Utilities/ADMIN/Admin Login,Chrome 74.0.3729.169,,2019-06-10 09:28:49,2019-06-10 09:28:53,4.594s,PASSED
openBrowser,Chrome 74.0.3729.169,,2019-06-10 09:28:49,2019-06-10 09:28:50,0.916s,PASSED
maximizeWindow,Chrome 74.0.3729.169,,2019-06-10 09:28:50,2019-06-10 09:28:50,0.075s,PASSED
navigateToUrl,Chrome 74.0.3729.169,,2019-06-10 09:28:50,2019-06-10 09:28:50,0.347s,PASSED
"Statement - If (AdminAccountType == ""custom"")",Chrome 74.0.3729.169,,2019-06-10 09:28:50,2019-06-10 09:28:53,2.900s,PASSED
,,,,,,
Test Cases/ADMIN/Features Control/Booking Unit/Combination/Default/01Add_perHour,Chrome 74.0.3729.169,,2019-06-10 09:28:53,2019-06-10 09:29:08,14.790s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-10 09:28:54,2019-06-10 09:28:54,0.276s,PASSED
click,Chrome 74.0.3729.169,,2019-06-10 09:28:54,2019-06-10 09:28:54,0.569s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-10 09:28:54,2019-06-10 09:28:54,0.064s,PASSED
click,Chrome 74.0.3729.169,,2019-06-10 09:28:54,2019-06-10 09:28:57,2.351s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-10 09:28:57,2019-06-10 09:28:57,0.123s,PASSED
verifyElementVisible,Chrome 74.0.3729.169,,2019-06-10 09:28:57,2019-06-10 09:28:57,0.039s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-10 09:28:57,2019-06-10 09:28:58,1.019s,PASSED
click,Chrome 74.0.3729.169,,2019-06-10 09:28:58,2019-06-10 09:28:58,0.113s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-10 09:28:58,2019-06-10 09:28:58,0.036s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-10 09:28:58,2019-06-10 09:28:59,1.002s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-10 09:28:59,2019-06-10 09:28:59,0.174s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-10 09:28:59,2019-06-10 09:29:00,1.004s,PASSED
click,Chrome 74.0.3729.169,,2019-06-10 09:29:00,2019-06-10 09:29:00,0.086s,PASSED
click,Chrome 74.0.3729.169,,2019-06-10 09:29:00,2019-06-10 09:29:00,0.068s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-10 09:29:00,2019-06-10 09:29:01,1.002s,PASSED
click,Chrome 74.0.3729.169,,2019-06-10 09:29:01,2019-06-10 09:29:02,0.105s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-10 09:29:02,2019-06-10 09:29:02,0.039s,PASSED
click,Chrome 74.0.3729.169,,2019-06-10 09:29:02,2019-06-10 09:29:02,0.075s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-10 09:29:02,2019-06-10 09:29:02,0.569s,PASSED
waitForElementNotPresent,Chrome 74.0.3729.169,,2019-06-10 09:29:02,2019-06-10 09:29:08,5.850s,PASSED
,,,,,,
