Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Combination_OvernightUnit,Chrome 74.0.3729.131,,2019-05-15 10:24:54,2019-05-15 10:33:33,8m - 39.136s,PASSED
,,,,,,
Test Cases/Utilities/ADMIN/Admin Login,Chrome 74.0.3729.131,,2019-05-15 10:24:54,2019-05-15 10:25:05,10.264s,PASSED
openBrowser,Chrome 74.0.3729.131,,2019-05-15 10:24:55,2019-05-15 10:24:56,0.898s,PASSED
maximizeWindow,Chrome 74.0.3729.131,,2019-05-15 10:24:56,2019-05-15 10:24:56,0.029s,PASSED
navigateToUrl,Chrome 74.0.3729.131,,2019-05-15 10:24:56,2019-05-15 10:24:56,0.551s,PASSED
"Statement - If (AdminAccountType == ""custom"")",Chrome 74.0.3729.131,,2019-05-15 10:24:56,2019-05-15 10:25:05,8.460s,PASSED
,,,,,,
Test Cases/ADMIN/Features Control/Booking Unit/Combination/Overnight/01Add_perNight,Chrome 74.0.3729.131,,2019-05-15 10:25:05,2019-05-15 10:25:31,26.295s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-15 10:25:05,2019-05-15 10:25:05,0.246s,PASSED
click,Chrome 74.0.3729.131,,2019-05-15 10:25:05,2019-05-15 10:25:11,5.628s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-15 10:25:11,2019-05-15 10:25:11,0.284s,PASSED
click,Chrome 74.0.3729.131,,2019-05-15 10:25:11,2019-05-15 10:25:13,2.503s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-15 10:25:13,2019-05-15 10:25:14,0.143s,PASSED
verifyElementVisible,Chrome 74.0.3729.131,,2019-05-15 10:25:14,2019-05-15 10:25:14,0.044s,PASSED
delay,Chrome 74.0.3729.131,,2019-05-15 10:25:14,2019-05-15 10:25:15,1.021s,PASSED
click,Chrome 74.0.3729.131,,2019-05-15 10:25:15,2019-05-15 10:25:15,0.151s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-15 10:25:15,2019-05-15 10:25:15,0.048s,PASSED
delay,Chrome 74.0.3729.131,,2019-05-15 10:25:15,2019-05-15 10:25:16,1.002s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-15 10:25:16,2019-05-15 10:25:16,0.236s,PASSED
delay,Chrome 74.0.3729.131,,2019-05-15 10:25:16,2019-05-15 10:25:17,1.005s,PASSED
click,Chrome 74.0.3729.131,,2019-05-15 10:25:17,2019-05-15 10:25:17,0.103s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-15 10:25:17,2019-05-15 10:25:17,0.033s,PASSED
click,Chrome 74.0.3729.131,,2019-05-15 10:25:17,2019-05-15 10:25:17,0.070s,PASSED
delay,Chrome 74.0.3729.131,,2019-05-15 10:25:17,2019-05-15 10:25:18,1.003s,PASSED
click,Chrome 74.0.3729.131,,2019-05-15 10:25:18,2019-05-15 10:25:18,0.098s,PASSED
delay,Chrome 74.0.3729.131,,2019-05-15 10:25:18,2019-05-15 10:25:19,1.001s,PASSED
click,Chrome 74.0.3729.131,,2019-05-15 10:25:19,2019-05-15 10:25:20,0.136s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-15 10:25:20,2019-05-15 10:25:20,0.034s,PASSED
click,Chrome 74.0.3729.131,,2019-05-15 10:25:20,2019-05-15 10:25:20,0.062s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-15 10:25:20,2019-05-15 10:25:24,4.815s,PASSED
waitForElementNotPresent,Chrome 74.0.3729.131,,2019-05-15 10:25:24,2019-05-15 10:25:31,6.369s,PASSED
,,,,,,
Test Cases/ADMIN/Features Control/Booking Unit/Combination/Overnight/02Add_perNightWeek,Chrome 74.0.3729.131,,2019-05-15 10:25:31,2019-05-15 10:25:57,26.213s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-15 10:25:31,2019-05-15 10:25:31,0.040s,PASSED
click,Chrome 74.0.3729.131,,2019-05-15 10:25:31,2019-05-15 10:25:40,9.210s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-15 10:25:40,2019-05-15 10:25:40,0.133s,PASSED
click,Chrome 74.0.3729.131,,2019-05-15 10:25:40,2019-05-15 10:25:41,0.634s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-15 10:25:41,2019-05-15 10:25:41,0.129s,PASSED
