Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Admin Add Category,Chrome 74.0.3729.169,,2019-05-27 10:29:58,2019-05-27 10:51:08,21m - 9.688s,FAILED
,,,,,,
Test Cases/Utilities/ADMIN/Admin Login,Chrome 74.0.3729.169,,2019-05-27 10:29:59,2019-05-27 10:30:10,11.767s,PASSED
openBrowser,Chrome 74.0.3729.169,,2019-05-27 10:29:59,2019-05-27 10:30:02,3.140s,PASSED
maximizeWindow,Chrome 74.0.3729.169,,2019-05-27 10:30:02,2019-05-27 10:30:03,1.165s,PASSED
navigateToUrl,Chrome 74.0.3729.169,,2019-05-27 10:30:03,2019-05-27 10:30:07,3.641s,PASSED
"Statement - If (AdminAccountType == ""custom"")",Chrome 74.0.3729.169,,2019-05-27 10:30:07,2019-05-27 10:30:10,3.560s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Categories/Category Add-Edit/Add Category,Chrome 74.0.3729.169,,2019-05-27 10:30:10,2019-05-27 10:30:26,15.423s,FAILED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 10:30:11,2019-05-27 10:30:11,0.349s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 10:30:11,2019-05-27 10:30:11,0.169s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 10:30:11,2019-05-27 10:30:12,0.657s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 10:30:12,2019-05-27 10:30:13,0.972s,PASSED
waitForPageLoad,Chrome 74.0.3729.169,,2019-05-27 10:30:13,2019-05-27 10:30:13,0.093s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 10:30:13,2019-05-27 10:30:13,0.216s,PASSED
waitForElementPresent,Chrome 74.0.3729.169,,2019-05-27 10:30:13,2019-05-27 10:30:13,0.036s,PASSED
delay,Chrome 74.0.3729.169,,2019-05-27 10:30:13,2019-05-27 10:30:14,1.025s,PASSED
setText,Chrome 74.0.3729.169,,2019-05-27 10:30:14,2019-05-27 10:30:14,0.205s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 10:30:14,2019-05-27 10:30:14,0.096s,PASSED
delay,Chrome 74.0.3729.169,,2019-05-27 10:30:14,2019-05-27 10:30:16,2.002s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 10:30:16,2019-05-27 10:30:17,0.145s,PASSED
selectOptionByLabel,Chrome 74.0.3729.169,,2019-05-27 10:30:17,2019-05-27 10:30:17,0.542s,FAILED
click,Chrome 74.0.3729.169,,2019-05-27 10:30:17,2019-05-27 10:30:17,0.095s,PASSED
delay,Chrome 74.0.3729.169,,2019-05-27 10:30:17,2019-05-27 10:30:18,1.002s,PASSED
uploadFile,Chrome 74.0.3729.169,,2019-05-27 10:30:18,2019-05-27 10:30:18,0.086s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 10:30:18,2019-05-27 10:30:18,0.043s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 10:30:18,2019-05-27 10:30:18,0.079s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 10:30:18,2019-05-27 10:30:19,0.098s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 10:30:19,2019-05-27 10:30:19,0.046s,PASSED
setText,Chrome 74.0.3729.169,,2019-05-27 10:30:19,2019-05-27 10:30:19,0.182s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 10:30:19,2019-05-27 10:30:19,0.114s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 10:30:19,2019-05-27 10:30:19,0.585s,PASSED
waitForElementNotPresent,Chrome 74.0.3729.169,,2019-05-27 10:30:19,2019-05-27 10:30:26,6.299s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Categories/Category Add-Edit/Add Category,Chrome 74.0.3729.169,,2019-05-27 10:30:26,2019-05-27 10:30:40,14.347s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 10:30:26,2019-05-27 10:30:26,0.115s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 10:30:26,2019-05-27 10:30:26,0.079s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 10:30:26,2019-05-27 10:30:26,0.047s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 10:30:26,2019-05-27 10:30:27,0.769s,PASSED
waitForPageLoad,Chrome 74.0.3729.169,,2019-05-27 10:30:27,2019-05-27 10:30:27,0.013s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 10:30:27,2019-05-27 10:30:27,0.227s,PASSED
waitForElementPresent,Chrome 74.0.3729.169,,2019-05-27 10:30:27,2019-05-27 10:30:27,0.014s,PASSED
delay,Chrome 74.0.3729.169,,2019-05-27 10:30:27,2019-05-27 10:30:28,1.002s,PASSED
setText,Chrome 74.0.3729.169,,2019-05-27 10:30:28,2019-05-27 10:30:28,0.184s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 10:30:28,2019-05-27 10:30:28,0.109s,PASSED
