Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Admin Add Custom Fields,Chrome 74.0.3729.169,,2019-05-27 13:45:25,2019-05-27 13:46:48,1m - 23.170s,PASSED
,,,,,,
Test Cases/ADMIN/Custom Fields Page/Add Custom Item Fields/Add_Checkbox,Chrome 74.0.3729.169,,2019-05-27 13:45:25,2019-05-27 13:46:48,1m - 22.614s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 13:45:26,2019-05-27 13:45:28,2.024s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 13:45:28,2019-05-27 13:45:29,0.385s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 13:45:29,2019-05-27 13:45:29,0.944s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 13:45:29,2019-05-27 13:45:32,2.206s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 13:45:32,2019-05-27 13:45:32,0.690s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 13:45:32,2019-05-27 13:45:33,1.022s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 13:45:33,2019-05-27 13:45:34,1.031s,PASSED
waitForPageLoad,Chrome 74.0.3729.169,,2019-05-27 13:45:34,2019-05-27 13:45:35,0.236s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 13:45:35,2019-05-27 13:45:35,0.303s,PASSED
delay,Chrome 74.0.3729.169,,2019-05-27 13:45:35,2019-05-27 13:45:37,2.025s,PASSED
selectOptionByLabel,Chrome 74.0.3729.169,,2019-05-27 13:45:37,2019-05-27 13:45:37,0.318s,PASSED
verifyOptionSelectedByLabel,Chrome 74.0.3729.169,,2019-05-27 13:45:37,2019-05-27 13:45:37,0.002s,NOT_RUN
setText,Chrome 74.0.3729.169,,2019-05-27 13:45:37,2019-05-27 13:45:38,0.204s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 13:45:38,2019-05-27 13:45:38,0.072s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 13:45:38,2019-05-27 13:45:38,0.531s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 13:45:38,2019-05-27 13:45:38,0.048s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 13:45:38,2019-05-27 13:45:38,0.115s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 13:45:38,2019-05-27 13:45:38,0.160s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 13:45:38,2019-05-27 13:45:39,0.277s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 13:45:39,2019-05-27 13:45:39,0.061s,PASSED
setText,Chrome 74.0.3729.169,,2019-05-27 13:45:39,2019-05-27 13:45:39,0.241s,PASSED
setText,Chrome 74.0.3729.169,,2019-05-27 13:45:39,2019-05-27 13:45:40,0.524s,PASSED
setText,Chrome 74.0.3729.169,,2019-05-27 13:45:40,2019-05-27 13:45:40,0.208s,PASSED
setText,Chrome 74.0.3729.169,,2019-05-27 13:45:40,2019-05-27 13:45:40,0.585s,PASSED
setText,Chrome 74.0.3729.169,,2019-05-27 13:45:40,2019-05-27 13:45:41,0.577s,PASSED
click,Chrome 74.0.3729.169,,2019-05-27 13:45:41,2019-05-27 13:45:42,0.659s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-05-27 13:45:42,2019-05-27 13:46:15,33.722s,PASSED
waitForElementNotVisible,Chrome 74.0.3729.169,,2019-05-27 13:46:15,2019-05-27 13:46:48,32.784s,PASSED
