Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Admin Category,Chrome 74.0.3729.169,,2019-06-14 08:48:27,2019-06-14 09:20:47,32m - 19.643s,FAILED
,,,,,,
Test Cases/Utilities/ADMIN/Admin Login,Chrome 74.0.3729.169,,2019-06-14 08:48:27,2019-06-14 08:48:33,6.284s,PASSED
openBrowser,Chrome 74.0.3729.169,,2019-06-14 08:48:28,2019-06-14 08:48:29,0.985s,PASSED
maximizeWindow,Chrome 74.0.3729.169,,2019-06-14 08:48:29,2019-06-14 08:48:29,0.039s,PASSED
navigateToUrl,Chrome 74.0.3729.169,,2019-06-14 08:48:29,2019-06-14 08:48:30,1.255s,PASSED
"Statement - If (AdminAccountType == ""custom"")",Chrome 74.0.3729.169,,2019-06-14 08:48:30,2019-06-14 08:48:33,3.679s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Categories/Category Add-Edit/UI Verification,Chrome 74.0.3729.169,,2019-06-14 08:48:33,2019-06-14 08:48:39,5.053s,FAILED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:34,2019-06-14 08:48:34,0.044s,PASSED
click,Chrome 74.0.3729.169,,2019-06-14 08:48:34,2019-06-14 08:48:34,0.076s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:34,2019-06-14 08:48:34,0.559s,PASSED
click,Chrome 74.0.3729.169,,2019-06-14 08:48:34,2019-06-14 08:48:36,2.102s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:36,2019-06-14 08:48:37,0.074s,PASSED
click,Chrome 74.0.3729.169,,2019-06-14 08:48:37,2019-06-14 08:48:37,0.279s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:37,2019-06-14 08:48:37,0.567s,PASSED
verifyElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:37,2019-06-14 08:48:37,0.060s,PASSED
verifyElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:37,2019-06-14 08:48:37,0.033s,PASSED
verifyElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:37,2019-06-14 08:48:38,0.039s,PASSED
verifyElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:38,2019-06-14 08:48:38,0.031s,PASSED
verifyElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:38,2019-06-14 08:48:38,0.031s,PASSED
verifyElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:38,2019-06-14 08:48:38,0.706s,FAILED
verifyElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:38,2019-06-14 08:48:38,0.048s,PASSED
verifyElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:38,2019-06-14 08:48:38,0.042s,PASSED
verifyElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:38,2019-06-14 08:48:38,0.031s,PASSED
verifyElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:38,2019-06-14 08:48:38,0.030s,PASSED
verifyElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:38,2019-06-14 08:48:38,0.043s,PASSED
click,Chrome 74.0.3729.169,,2019-06-14 08:48:38,2019-06-14 08:48:39,0.075s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Categories/Category Add-Edit/Add Category,Chrome 74.0.3729.169,,2019-06-14 08:48:39,2019-06-14 08:48:55,16.141s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:39,2019-06-14 08:48:39,0.068s,PASSED
click,Chrome 74.0.3729.169,,2019-06-14 08:48:39,2019-06-14 08:48:40,0.680s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:40,2019-06-14 08:48:40,0.549s,PASSED
click,Chrome 74.0.3729.169,,2019-06-14 08:48:40,2019-06-14 08:48:41,0.489s,PASSED
waitForPageLoad,Chrome 74.0.3729.169,,2019-06-14 08:48:41,2019-06-14 08:48:41,0.055s,PASSED
click,Chrome 74.0.3729.169,,2019-06-14 08:48:41,2019-06-14 08:48:41,0.278s,PASSED
waitForElementPresent,Chrome 74.0.3729.169,,2019-06-14 08:48:41,2019-06-14 08:48:41,0.041s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-14 08:48:41,2019-06-14 08:48:42,1.022s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-14 08:48:42,2019-06-14 08:48:42,0.233s,PASSED
click,Chrome 74.0.3729.169,,2019-06-14 08:48:42,2019-06-14 08:48:43,0.098s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-14 08:48:43,2019-06-14 08:48:45,2.001s,PASSED
click,Chrome 74.0.3729.169,,2019-06-14 08:48:45,2019-06-14 08:48:45,0.087s,PASSED
selectOptionByLabel,Chrome 74.0.3729.169,,2019-06-14 08:48:45,2019-06-14 08:48:45,0.104s,PASSED
click,Chrome 74.0.3729.169,,2019-06-14 08:48:45,2019-06-14 08:48:45,0.066s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-14 08:48:45,2019-06-14 08:48:47,2.002s,PASSED
uploadFile,Chrome 74.0.3729.169,,2019-06-14 08:48:47,2019-06-14 08:48:47,0.093s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:47,2019-06-14 08:48:47,0.060s,PASSED
click,Chrome 74.0.3729.169,,2019-06-14 08:48:47,2019-06-14 08:48:47,0.073s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:47,2019-06-14 08:48:47,0.047s,PASSED
click,Chrome 74.0.3729.169,,2019-06-14 08:48:47,2019-06-14 08:48:47,0.080s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-14 08:48:47,2019-06-14 08:48:47,0.171s,PASSED
click,Chrome 74.0.3729.169,,2019-06-14 08:48:47,2019-06-14 08:48:47,0.072s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:47,2019-06-14 08:48:48,1.062s,PASSED
waitForElementNotPresent,Chrome 74.0.3729.169,,2019-06-14 08:48:48,2019-06-14 08:48:55,6.211s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Categories/Category Add-Edit/Add Category,Chrome 74.0.3729.169,,2019-06-14 08:48:55,2019-06-14 08:49:10,14.886s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:55,2019-06-14 08:48:55,0.034s,PASSED
click,Chrome 74.0.3729.169,,2019-06-14 08:48:55,2019-06-14 08:48:55,0.172s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-14 08:48:55,2019-06-14 08:48:56,1.154s,PASSED
click,Chrome 74.0.3729.169,,2019-06-14 08:48:56,2019-06-14 08:48:57,0.603s,PASSED
waitForPageLoad,Chrome 74.0.3729.169,,2019-06-14 08:48:57,2019-06-14 08:48:57,0.007s,PASSED
click,Chrome 74.0.3729.169,,2019-06-14 08:48:57,2019-06-14 08:48:57,0.276s,PASSED
waitForElementPresent,Chrome 74.0.3729.169,,2019-06-14 08:48:57,2019-06-14 08:48:57,0.017s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-14 08:48:57,2019-06-14 08:48:58,1.001s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-14 08:48:58,2019-06-14 08:48:58,0.160s,PASSED
click,Chrome 74.0.3729.169,,2019-06-14 08:48:58,2019-06-14 08:48:58,0.093s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-14 08:48:58,2019-06-14 08:49:00,2.001s,PASSED
