Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Admin Getting Started,Chrome 74.0.3729.169,,2019-06-13 14:19:41,2019-06-13 14:27:50,8m - 8.567s,FAILED
,,,,,,
Test Cases/ADMIN/Getting Started/Getting Started Step 1,Chrome 74.0.3729.169,,2019-06-13 14:19:42,2019-06-13 14:20:16,34.729s,PASSED
callTestCase,Chrome 74.0.3729.169,,2019-06-13 14:19:42,2019-06-13 14:19:57,14.687s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-13 14:19:57,2019-06-13 14:19:57,0.235s,PASSED
click,Chrome 74.0.3729.169,,2019-06-13 14:19:57,2019-06-13 14:19:58,0.876s,PASSED
comment,Chrome 74.0.3729.169,,2019-06-13 14:19:58,2019-06-13 14:19:58,0.008s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-13 14:19:58,2019-06-13 14:19:58,0.203s,PASSED
verifyElementText,Chrome 74.0.3729.169,,2019-06-13 14:19:58,2019-06-13 14:19:58,0.058s,PASSED
verifyElementText,Chrome 74.0.3729.169,,2019-06-13 14:19:58,2019-06-13 14:19:58,0.057s,PASSED
verifyElementText,Chrome 74.0.3729.169,,2019-06-13 14:19:58,2019-06-13 14:19:58,0.047s,PASSED
verifyElementPresent,Chrome 74.0.3729.169,,2019-06-13 14:19:58,2019-06-13 14:19:59,0.343s,PASSED
verifyElementText,Chrome 74.0.3729.169,,2019-06-13 14:19:59,2019-06-13 14:19:59,0.212s,PASSED
verifyElementText,Chrome 74.0.3729.169,,2019-06-13 14:19:59,2019-06-13 14:19:59,0.176s,PASSED
verifyElementPresent,Chrome 74.0.3729.169,,2019-06-13 14:19:59,2019-06-13 14:19:59,0.079s,PASSED
verifyElementPresent,Chrome 74.0.3729.169,,2019-06-13 14:19:59,2019-06-13 14:19:59,0.161s,PASSED
comment,Chrome 74.0.3729.169,,2019-06-13 14:19:59,2019-06-13 14:19:59,0.002s,PASSED
click,Chrome 74.0.3729.169,,2019-06-13 14:19:59,2019-06-13 14:20:00,0.448s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-13 14:20:00,2019-06-13 14:20:01,1.007s,PASSED
