Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Admin Onboarding Only(BESPOKE),Chrome 74.0.3729.157,,2019-05-20 08:15:45,2019-05-20 08:18:19,2m - 34.499s,FAILED
,,,,,,
Test Cases/ADMIN/Onboarding/Admin_Onboarding_Create_Account,Chrome 74.0.3729.157,,2019-05-20 08:15:46,2019-05-20 08:16:04,18.115s,PASSED
openBrowser,Chrome 74.0.3729.157,,2019-05-20 08:15:46,2019-05-20 08:15:50,4.277s,PASSED
navigateToUrl,Chrome 74.0.3729.157,,2019-05-20 08:15:50,2019-05-20 08:15:56,5.271s,PASSED
maximizeWindow,Chrome 74.0.3729.157,,2019-05-20 08:15:56,2019-05-20 08:15:57,1.276s,PASSED
"Statement - If (AdminAccount == ""custom"")",Chrome 74.0.3729.157,,2019-05-20 08:15:57,2019-05-20 08:16:04,6.839s,PASSED
,,,,,,
Test Cases/ADMIN/Onboarding/Admin_Onboarding_Step1_Simple_Test,Chrome 74.0.3729.157,,2019-05-20 08:16:04,2019-05-20 08:16:10,6.851s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:16:04,2019-05-20 08:16:04,0.030s,PASSED
selectOptionByLabel,Chrome 74.0.3729.157,,2019-05-20 08:16:04,2019-05-20 08:16:05,0.518s,PASSED
selectOptionByLabel,Chrome 74.0.3729.157,,2019-05-20 08:16:05,2019-05-20 08:16:05,0.618s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-20 08:16:05,2019-05-20 08:16:06,0.817s,PASSED
selectOptionByLabel,Chrome 74.0.3729.157,,2019-05-20 08:16:06,2019-05-20 08:16:07,0.569s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-20 08:16:07,2019-05-20 08:16:07,0.747s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:16:07,2019-05-20 08:16:07,0.002s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-20 08:16:07,2019-05-20 08:16:08,0.885s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:16:08,2019-05-20 08:16:10,2.157s,PASSED
verifyElementText,Chrome 74.0.3729.157,,2019-05-20 08:16:10,2019-05-20 08:16:10,0.179s,PASSED
,,,,,,
Test Cases/ADMIN/Onboarding/Step2_Simple_Test,Chrome 74.0.3729.157,,2019-05-20 08:16:10,2019-05-20 08:16:23,12.588s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:16:11,2019-05-20 08:16:11,0.001s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:11,2019-05-20 08:16:12,0.592s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:16:12,2019-05-20 08:16:12,0.001s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:16:12,2019-05-20 08:16:13,1.134s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:13,2019-05-20 08:16:13,0.084s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:16:13,2019-05-20 08:16:14,1.069s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:14,2019-05-20 08:16:14,0.320s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:16:14,2019-05-20 08:16:14,0.001s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-20 08:16:14,2019-05-20 08:16:14,0.203s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-20 08:16:14,2019-05-20 08:16:15,0.160s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-20 08:16:15,2019-05-20 08:16:16,1.010s,PASSED
selectOptionByLabel,Chrome 74.0.3729.157,,2019-05-20 08:16:16,2019-05-20 08:16:16,0.119s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-20 08:16:16,2019-05-20 08:16:17,1.517s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-20 08:16:17,2019-05-20 08:16:18,0.682s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-20 08:16:18,2019-05-20 08:16:18,0.488s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:16:18,2019-05-20 08:16:23,4.718s,PASSED
,,,,,,
Test Cases/ADMIN/Onboarding/Step3_Simple_Test,Chrome 74.0.3729.157,,2019-05-20 08:16:23,2019-05-20 08:16:31,8.104s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:16:23,2019-05-20 08:16:23,0.001s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:23,2019-05-20 08:16:24,0.347s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:16:24,2019-05-20 08:16:24,0.002s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:16:24,2019-05-20 08:16:25,1.259s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:25,2019-05-20 08:16:25,0.481s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:16:25,2019-05-20 08:16:28,2.270s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:28,2019-05-20 08:16:28,0.383s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:16:28,2019-05-20 08:16:28,0.001s,PASSED
"Statement - If (Template == ""Bespoke"")",Chrome 74.0.3729.157,,2019-05-20 08:16:28,2019-05-20 08:16:31,3.144s,PASSED
,,,,,,
Test Cases/ADMIN/Onboarding/Step4_Simple_Test,Chrome 74.0.3729.157,,2019-05-20 08:16:31,2019-05-20 08:16:39,7.987s,FAILED
comment,Chrome 74.0.3729.157,,2019-05-20 08:16:32,2019-05-20 08:16:32,0.002s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:32,2019-05-20 08:16:32,0.657s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:16:32,2019-05-20 08:16:32,0.004s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:16:32,2019-05-20 08:16:34,1.635s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:34,2019-05-20 08:16:34,0.065s,PASSED
"Statement - If (Template == ""Bespoke"")",Chrome 74.0.3729.157,,2019-05-20 08:16:34,2019-05-20 08:16:35,1.283s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:35,2019-05-20 08:16:37,1.578s,FAILED
comment,Chrome 74.0.3729.157,,2019-05-20 08:16:37,2019-05-20 08:16:37,0.001s,PASSED
uploadFile,Chrome 74.0.3729.157,,2019-05-20 08:16:37,2019-05-20 08:16:37,0.254s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-20 08:16:37,2019-05-20 08:16:37,0.409s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-20 08:16:37,2019-05-20 08:16:38,0.356s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-20 08:16:38,2019-05-20 08:16:38,0.227s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-20 08:16:38,2019-05-20 08:16:39,1.054s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:16:39,2019-05-20 08:16:39,0.105s,PASSED
,,,,,,
Test Cases/ADMIN/Onboarding/Step5_Simple_Test_Bespoke,Chrome 74.0.3729.157,,2019-05-20 08:16:39,2019-05-20 08:16:48,9.163s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:16:39,2019-05-20 08:16:39,0.132s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:39,2019-05-20 08:16:42,2.356s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:16:42,2019-05-20 08:16:42,0.000s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:16:42,2019-05-20 08:16:43,1.044s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:43,2019-05-20 08:16:43,0.048s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:16:43,2019-05-20 08:16:43,0.091s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:43,2019-05-20 08:16:44,1.310s,PASSED
delay,Chrome 74.0.3729.157,,2019-05-20 08:16:44,2019-05-20 08:16:46,2.001s,PASSED
"Statement - If (Theme == ""Theme 1"")",Chrome 74.0.3729.157,,2019-05-20 08:16:46,2019-05-20 08:16:46,0.127s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:16:46,2019-05-20 08:16:48,1.886s,PASSED
,,,,,,
Test Cases/ADMIN/Onboarding/Step6_Simple_Test,Chrome 74.0.3729.157,,2019-05-20 08:16:48,2019-05-20 08:16:57,9.088s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:16:48,2019-05-20 08:16:48,0.001s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:48,2019-05-20 08:16:49,0.484s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:16:49,2019-05-20 08:16:49,0.001s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:16:49,2019-05-20 08:16:50,0.854s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:50,2019-05-20 08:16:50,0.048s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:16:50,2019-05-20 08:16:51,0.994s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:51,2019-05-20 08:16:51,0.060s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:16:51,2019-05-20 08:16:51,0.002s,PASSED
delay,Chrome 74.0.3729.157,,2019-05-20 08:16:51,2019-05-20 08:16:53,2.000s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:16:53,2019-05-20 08:16:53,0.113s,PASSED
delay,Chrome 74.0.3729.157,,2019-05-20 08:16:53,2019-05-20 08:16:55,2.003s,PASSED
uploadFile,Chrome 74.0.3729.157,,2019-05-20 08:16:55,2019-05-20 08:16:55,0.266s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:55,2019-05-20 08:16:56,0.513s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:16:56,2019-05-20 08:16:56,0.202s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:56,2019-05-20 08:16:56,0.089s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:16:56,2019-05-20 08:16:56,0.159s,PASSED
delay,Chrome 74.0.3729.157,,2019-05-20 08:16:56,2019-05-20 08:16:57,1.000s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:16:57,2019-05-20 08:16:57,0.153s,PASSED
,,,,,,
Test Cases/ADMIN/Onboarding/Step7_Simple_Test,Chrome 74.0.3729.157,,2019-05-20 08:16:57,2019-05-20 08:17:05,7.540s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:16:58,2019-05-20 08:16:58,0.001s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:16:58,2019-05-20 08:17:00,2.371s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:17:00,2019-05-20 08:17:00,0.001s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:17:00,2019-05-20 08:17:01,0.782s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:17:01,2019-05-20 08:17:01,0.343s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:17:01,2019-05-20 08:17:01,0.175s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:17:01,2019-05-20 08:17:02,1.050s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:17:02,2019-05-20 08:17:02,0.000s,PASSED
selectOptionByLabel,Chrome 74.0.3729.157,,2019-05-20 08:17:02,2019-05-20 08:17:03,0.320s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-20 08:17:03,2019-05-20 08:17:03,0.561s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:17:03,2019-05-20 08:17:05,1.806s,PASSED
,,,,,,
Test Cases/ADMIN/Onboarding/Step8_Simple_Test,Chrome 74.0.3729.157,,2019-05-20 08:17:05,2019-05-20 08:17:12,6.707s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:17:05,2019-05-20 08:17:05,0.002s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:17:05,2019-05-20 08:17:06,0.434s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-20 08:17:06,2019-05-20 08:17:06,0.001s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:17:06,2019-05-20 08:17:06,0.705s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-20 08:17:06,2019-05-20 08:17:07,0.373s,PASSED
click,Chrome 74.0.3729.157,,2019-05-20 08:17:07,2019-05-20 08:17:08,0.892s,PASSED
