Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Admin Onboarding Only(SPACETIME),Chrome 74.0.3729.131,,2019-05-09 07:59:02,2019-05-09 08:03:10,4m - 7.497s,PASSED
,,,,,,
Test Cases/ADMIN/Onboarding/Admin_Onboarding_Create_Account,Chrome 74.0.3729.131,,2019-05-09 07:59:03,2019-05-09 08:00:40,1m - 36.823s,PASSED
openBrowser,Chrome 74.0.3729.131,,2019-05-09 07:59:03,2019-05-09 07:59:08,5.014s,PASSED
navigateToUrl,Chrome 74.0.3729.131,,2019-05-09 07:59:08,2019-05-09 07:59:25,17.207s,PASSED
maximizeWindow,Chrome 74.0.3729.131,,2019-05-09 07:59:25,2019-05-09 07:59:27,1.185s,PASSED
"Statement - If (AdminAccount == ""custom"")",Chrome 74.0.3729.131,,2019-05-09 07:59:27,2019-05-09 08:00:40,1m - 13.009s,PASSED
,,,,,,
Test Cases/ADMIN/Onboarding/Step1_Simple_Test,Chrome 74.0.3729.131,,2019-05-09 08:00:40,2019-05-09 08:00:45,5.554s,PASSED
comment,Chrome 74.0.3729.131,,2019-05-09 08:00:40,2019-05-09 08:00:40,0.020s,PASSED
selectOptionByLabel,Chrome 74.0.3729.131,,2019-05-09 08:00:40,2019-05-09 08:00:40,0.430s,PASSED
selectOptionByLabel,Chrome 74.0.3729.131,,2019-05-09 08:00:40,2019-05-09 08:00:40,0.188s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-09 08:00:40,2019-05-09 08:00:41,0.310s,PASSED
selectOptionByLabel,Chrome 74.0.3729.131,,2019-05-09 08:00:41,2019-05-09 08:00:41,0.105s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-09 08:00:41,2019-05-09 08:00:41,0.209s,PASSED
comment,Chrome 74.0.3729.131,,2019-05-09 08:00:41,2019-05-09 08:00:41,0.001s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-09 08:00:41,2019-05-09 08:00:41,0.394s,PASSED
click,Chrome 74.0.3729.131,,2019-05-09 08:00:41,2019-05-09 08:00:45,3.676s,PASSED
verifyElementText,Chrome 74.0.3729.131,,2019-05-09 08:00:45,2019-05-09 08:00:45,0.079s,PASSED
,,,,,,
Test Cases/ADMIN/Onboarding/Step2_Simple_Test,Chrome 74.0.3729.131,,2019-05-09 08:00:45,2019-05-09 08:01:05,19.388s,PASSED
comment,Chrome 74.0.3729.131,,2019-05-09 08:00:45,2019-05-09 08:00:45,0.002s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-09 08:00:45,2019-05-09 08:00:46,0.084s,PASSED
comment,Chrome 74.0.3729.131,,2019-05-09 08:00:46,2019-05-09 08:00:46,0.001s,PASSED
click,Chrome 74.0.3729.131,,2019-05-09 08:00:46,2019-05-09 08:00:46,0.587s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-09 08:00:46,2019-05-09 08:00:46,0.171s,PASSED
click,Chrome 74.0.3729.131,,2019-05-09 08:00:46,2019-05-09 08:00:46,0.082s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-09 08:00:46,2019-05-09 08:01:01,14.800s,PASSED
comment,Chrome 74.0.3729.131,,2019-05-09 08:01:01,2019-05-09 08:01:01,0.000s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-09 08:01:01,2019-05-09 08:01:01,0.117s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-09 08:01:01,2019-05-09 08:01:01,0.152s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-09 08:01:01,2019-05-09 08:01:02,0.253s,PASSED
selectOptionByLabel,Chrome 74.0.3729.131,,2019-05-09 08:01:02,2019-05-09 08:01:02,0.099s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-09 08:01:02,2019-05-09 08:01:02,0.332s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-09 08:01:02,2019-05-09 08:01:03,0.329s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-09 08:01:03,2019-05-09 08:01:03,0.199s,PASSED
click,Chrome 74.0.3729.131,,2019-05-09 08:01:03,2019-05-09 08:01:05,1.833s,PASSED
,,,,,,
Test Cases/ADMIN/Onboarding/Step3_Simple_Test,Chrome 74.0.3729.131,,2019-05-09 08:01:05,2019-05-09 08:01:08,3.127s,PASSED
comment,Chrome 74.0.3729.131,,2019-05-09 08:01:05,2019-05-09 08:01:05,0.001s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-09 08:01:05,2019-05-09 08:01:05,0.046s,PASSED
