Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Henry,Chrome 74.0.3729.131,,2019-05-08 14:52:38,2019-05-08 15:37:09,44m - 30.463s,FAILED
,,,,,,
Test Cases/MERCHANT/BESPOKE/Upload/Simple Upload,Chrome 74.0.3729.131,,2019-05-08 14:52:39,2019-05-08 14:54:39,2m - 0.278s,PASSED
callTestCase,Chrome 74.0.3729.131,,2019-05-08 14:52:39,2019-05-08 14:53:27,47.616s,PASSED
click,Chrome 74.0.3729.131,,2019-05-08 14:53:27,2019-05-08 14:53:37,10.660s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-08 14:53:37,2019-05-08 14:53:37,0.068s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-08 14:53:37,2019-05-08 14:53:47,9.585s,PASSED
click,Chrome 74.0.3729.131,,2019-05-08 14:53:47,2019-05-08 14:53:47,0.103s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-08 14:53:47,2019-05-08 14:53:47,0.134s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-08 14:53:47,2019-05-08 14:53:47,0.179s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-08 14:53:47,2019-05-08 14:53:48,0.347s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-08 14:53:48,2019-05-08 14:53:48,0.284s,PASSED
delay,Chrome 74.0.3729.131,,2019-05-08 14:53:48,2019-05-08 14:53:50,2.010s,PASSED
click,Chrome 74.0.3729.131,,2019-05-08 14:53:50,2019-05-08 14:53:50,0.193s,PASSED
callTestCase,Chrome 74.0.3729.131,,2019-05-08 14:53:50,2019-05-08 14:53:55,4.916s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-08 14:53:55,2019-05-08 14:53:55,0.185s,PASSED
click,Chrome 74.0.3729.131,,2019-05-08 14:53:55,2019-05-08 14:53:56,0.136s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-08 14:53:56,2019-05-08 14:54:11,15.522s,PASSED
callTestCase,Chrome 74.0.3729.131,,2019-05-08 14:54:11,2019-05-08 14:54:39,27.923s,PASSED
,,,,,,
Test Cases/MERCHANT/BESPOKE/Upload/Simple Upload,Chrome 74.0.3729.131,,2019-05-08 14:54:39,2019-05-08 14:57:09,2m - 30.198s,PASSED
callTestCase,Chrome 74.0.3729.131,,2019-05-08 14:54:39,2019-05-08 14:55:56,1m - 17.237s,PASSED
click,Chrome 74.0.3729.131,,2019-05-08 14:55:56,2019-05-08 14:56:07,11.012s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-08 14:56:07,2019-05-08 14:56:07,0.165s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-08 14:56:07,2019-05-08 14:56:17,9.982s,PASSED
click,Chrome 74.0.3729.131,,2019-05-08 14:56:17,2019-05-08 14:56:18,0.120s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-08 14:56:18,2019-05-08 14:56:18,0.415s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-08 14:56:18,2019-05-08 14:56:18,0.150s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-08 14:56:18,2019-05-08 14:56:18,0.280s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-08 14:56:18,2019-05-08 14:56:19,0.315s,PASSED
delay,Chrome 74.0.3729.131,,2019-05-08 14:56:19,2019-05-08 14:56:21,2.001s,PASSED
click,Chrome 74.0.3729.131,,2019-05-08 14:56:21,2019-05-08 14:56:21,0.141s,PASSED
callTestCase,Chrome 74.0.3729.131,,2019-05-08 14:56:21,2019-05-08 14:56:24,3.633s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-08 14:56:24,2019-05-08 14:56:25,0.439s,PASSED
click,Chrome 74.0.3729.131,,2019-05-08 14:56:25,2019-05-08 14:56:25,0.202s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-08 14:56:25,2019-05-08 14:56:46,21.210s,PASSED
callTestCase,Chrome 74.0.3729.131,,2019-05-08 14:56:46,2019-05-08 14:57:09,22.853s,PASSED
,,,,,,
Test Cases/MERCHANT/BESPOKE/Upload/Simple Upload,Chrome 74.0.3729.131,,2019-05-08 14:57:09,2019-05-08 14:59:48,2m - 38.522s,PASSED
callTestCase,Chrome 74.0.3729.131,,2019-05-08 14:57:09,2019-05-08 14:58:42,1m - 32.387s,PASSED
click,Chrome 74.0.3729.131,,2019-05-08 14:58:42,2019-05-08 14:58:57,15.734s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-08 14:58:57,2019-05-08 14:58:58,0.289s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-08 14:58:58,2019-05-08 14:59:07,9.481s,PASSED
click,Chrome 74.0.3729.131,,2019-05-08 14:59:07,2019-05-08 14:59:07,0.137s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-08 14:59:07,2019-05-08 14:59:07,0.176s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-08 14:59:07,2019-05-08 14:59:08,0.146s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-08 14:59:08,2019-05-08 14:59:08,0.309s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-08 14:59:08,2019-05-08 14:59:08,0.252s,PASSED
delay,Chrome 74.0.3729.131,,2019-05-08 14:59:08,2019-05-08 14:59:10,2.001s,PASSED
