Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Item Creation Bespoke,Chrome 74.0.3729.157,,2019-05-22 15:26:00,2019-05-22 15:26:26,25.978s,FAILED
,,,,,,
Test Cases/Utilities/MERCHANT/Merchant Login,Chrome 74.0.3729.157,,2019-05-22 15:26:00,2019-05-22 15:26:16,15.124s,FAILED
openBrowser,Chrome 74.0.3729.157,,2019-05-22 15:26:01,2019-05-22 15:26:02,1.092s,PASSED
maximizeWindow,Chrome 74.0.3729.157,,2019-05-22 15:26:02,2019-05-22 15:26:02,0.027s,PASSED
navigateToUrl,Chrome 74.0.3729.157,,2019-05-22 15:26:02,2019-05-22 15:26:05,2.977s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-22 15:26:05,2019-05-22 15:26:05,0.102s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Utilities/Login Seller/Accept Cookies/a_Accept Cookies), 3) == true)",Chrome 74.0.3729.157,,2019-05-22 15:26:05,2019-05-22 15:26:10,4.605s,FAILED
Statement - Else,Chrome 74.0.3729.157,,2019-05-22 15:26:10,2019-05-22 15:26:10,0.020s,PASSED
click,Chrome 74.0.3729.157,,2019-05-22 15:26:10,2019-05-22 15:26:11,1.073s,PASSED
"Statement - If (MerchantAccountType == ""custom"")",Chrome 74.0.3729.157,,2019-05-22 15:26:11,2019-05-22 15:26:15,4.741s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-22 15:26:15,2019-05-22 15:26:16,0.040s,PASSED
,,,,,,
Test Cases/MERCHANT/BESPOKE/Upload/Item Creation,Chrome 74.0.3729.157,,2019-05-22 15:26:16,2019-05-22 15:26:24,8.345s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-22 15:26:16,2019-05-22 15:26:16,0.385s,PASSED
click,Chrome 74.0.3729.157,,2019-05-22 15:26:16,2019-05-22 15:26:18,1.992s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-22 15:26:18,2019-05-22 15:26:18,0.012s,PASSED
waitForElementVisible,Chrome 74.0.3729.157,,2019-05-22 15:26:18,2019-05-22 15:26:18,0.063s,PASSED
click,Chrome 74.0.3729.157,,2019-05-22 15:26:18,2019-05-22 15:26:19,0.578s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-22 15:26:19,2019-05-22 15:26:19,0.000s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-22 15:26:19,2019-05-22 15:26:19,0.112s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-22 15:26:19,2019-05-22 15:26:19,0.001s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-22 15:26:19,2019-05-22 15:26:19,0.095s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-22 15:26:19,2019-05-22 15:26:19,0.001s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-22 15:26:19,2019-05-22 15:26:19,0.175s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-22 15:26:19,2019-05-22 15:26:19,0.001s,PASSED
setText,Chrome 74.0.3729.157,,2019-05-22 15:26:19,2019-05-22 15:26:21,1.550s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-22 15:26:21,2019-05-22 15:26:21,0.001s,PASSED
click,Chrome 74.0.3729.157,,2019-05-22 15:26:21,2019-05-22 15:26:21,0.083s,PASSED
delay,Chrome 74.0.3729.157,,2019-05-22 15:26:21,2019-05-22 15:26:22,1.009s,PASSED
uploadFile,Chrome 74.0.3729.157,,2019-05-22 15:26:22,2019-05-22 15:26:22,0.099s,PASSED
click,Chrome 74.0.3729.157,,2019-05-22 15:26:22,2019-05-22 15:26:22,0.170s,PASSED
delay,Chrome 74.0.3729.157,,2019-05-22 15:26:22,2019-05-22 15:26:23,1.001s,PASSED
comment,Chrome 74.0.3729.157,,2019-05-22 15:26:23,2019-05-22 15:26:23,0.001s,PASSED
"Statement - If (varVariants == ""yes"")",Chrome 74.0.3729.157,,2019-05-22 15:26:23,2019-05-22 15:26:24,0.736s,PASSED
,,,,,,
Test Cases/Utilities/MERCHANT/bespoke_logout,Chrome 74.0.3729.157,,2019-05-22 15:26:24,2019-05-22 15:26:26,1.928s,PASSED
click,Chrome 74.0.3729.157,,2019-05-22 15:26:24,2019-05-22 15:26:24,0.075s,PASSED
click,Chrome 74.0.3729.157,,2019-05-22 15:26:24,2019-05-22 15:26:26,1.726s,PASSED
