Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Merchant Add Service,Chrome 74.0.3729.131,,2019-05-16 13:41:35,2019-05-16 13:42:35,1m - 0.646s,PASSED
,,,,,,
Test Cases/MERCHANT/SPACETIME/Service Creation/Add Service,Chrome 74.0.3729.131,,2019-05-16 13:41:35,2019-05-16 13:42:35,59.929s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-16 13:41:36,2019-05-16 13:41:38,1.689s,PASSED
click,Chrome 74.0.3729.131,,2019-05-16 13:41:38,2019-05-16 13:41:52,14.364s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-16 13:41:52,2019-05-16 13:41:52,0.167s,PASSED
click,Chrome 74.0.3729.131,,2019-05-16 13:41:52,2019-05-16 13:42:05,12.426s,PASSED
comment,Chrome 74.0.3729.131,,2019-05-16 13:42:05,2019-05-16 13:42:05,0.028s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-16 13:42:05,2019-05-16 13:42:20,15.060s,PASSED
click,Chrome 74.0.3729.131,,2019-05-16 13:42:20,2019-05-16 13:42:20,0.160s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-16 13:42:20,2019-05-16 13:42:20,0.436s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-16 13:42:20,2019-05-16 13:42:23,2.411s,PASSED
click,Chrome 74.0.3729.131,,2019-05-16 13:42:23,2019-05-16 13:42:23,0.140s,PASSED
selectOptionByLabel,Chrome 74.0.3729.131,,2019-05-16 13:42:23,2019-05-16 13:42:23,0.256s,PASSED
click,Chrome 74.0.3729.131,,2019-05-16 13:42:23,2019-05-16 13:42:23,0.137s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-16 13:42:23,2019-05-16 13:42:23,0.252s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-16 13:42:23,2019-05-16 13:42:24,0.193s,PASSED
click,Chrome 74.0.3729.131,,2019-05-16 13:42:24,2019-05-16 13:42:24,0.621s,PASSED
comment,Chrome 74.0.3729.131,,2019-05-16 13:42:24,2019-05-16 13:42:24,0.002s,PASSED
scrollToElement,Chrome 74.0.3729.131,,2019-05-16 13:42:24,2019-05-16 13:42:24,0.198s,PASSED
click,Chrome 74.0.3729.131,,2019-05-16 13:42:24,2019-05-16 13:42:25,0.131s,PASSED
comment,Chrome 74.0.3729.131,,2019-05-16 13:42:25,2019-05-16 13:42:25,0.004s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-16 13:42:25,2019-05-16 13:42:25,0.172s,PASSED
click,Chrome 74.0.3729.131,,2019-05-16 13:42:25,2019-05-16 13:42:25,0.633s,PASSED
delay,Chrome 74.0.3729.131,,2019-05-16 13:42:25,2019-05-16 13:42:26,1.008s,PASSED
uploadFile,Chrome 74.0.3729.131,,2019-05-16 13:42:26,2019-05-16 13:42:27,0.109s,PASSED
click,Chrome 74.0.3729.131,,2019-05-16 13:42:27,2019-05-16 13:42:27,0.473s,PASSED
delay,Chrome 74.0.3729.131,,2019-05-16 13:42:27,2019-05-16 13:42:28,1.001s,PASSED
scrollToElement,Chrome 74.0.3729.131,,2019-05-16 13:42:28,2019-05-16 13:42:28,0.051s,PASSED
click,Chrome 74.0.3729.131,,2019-05-16 13:42:28,2019-05-16 13:42:29,0.468s,PASSED
comment,Chrome 74.0.3729.131,,2019-05-16 13:42:29,2019-05-16 13:42:29,0.001s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-16 13:42:29,2019-05-16 13:42:29,0.079s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-16 13:42:29,2019-05-16 13:42:29,0.792s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-16 13:42:29,2019-05-16 13:42:30,0.168s,PASSED
click,Chrome 74.0.3729.131,,2019-05-16 13:42:30,2019-05-16 13:42:30,0.425s,PASSED
scrollToElement,Chrome 74.0.3729.131,,2019-05-16 13:42:30,2019-05-16 13:42:30,0.063s,PASSED
click,Chrome 74.0.3729.131,,2019-05-16 13:42:30,2019-05-16 13:42:30,0.113s,PASSED
comment,Chrome 74.0.3729.131,,2019-05-16 13:42:30,2019-05-16 13:42:30,0.001s,PASSED
waitForElementVisible,Chrome 74.0.3729.131,,2019-05-16 13:42:30,2019-05-16 13:42:30,0.081s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-16 13:42:30,2019-05-16 13:42:33,2.503s,PASSED
selectOptionByLabel,Chrome 74.0.3729.131,,2019-05-16 13:42:33,2019-05-16 13:42:33,0.105s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-16 13:42:33,2019-05-16 13:42:34,1.078s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-16 13:42:34,2019-05-16 13:42:35,0.658s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-16 13:42:35,2019-05-16 13:42:35,0.477s,PASSED
scrollToElement,Chrome 74.0.3729.131,,2019-05-16 13:42:35,2019-05-16 13:42:35,0.047s,PASSED
click,Chrome 74.0.3729.131,,2019-05-16 13:42:35,2019-05-16 13:42:35,0.194s,PASSED
